id,name,sex,party,sector,country
lk,Lars Klingbeil,1,SPD,Politik,Deutschland
uvdl,Ursula von der Leyen,2,CDU,Politik,Deutschland
nr,Norbert Röttgen,1,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,2,Die_Linke,Politik,Deutschland
cr,Constanze Stelzenmüller  ,2,NA,Jura,Deutschland
cl,Christian Lindner,1,FDP,Politik,Deutschland
ks,Karl Schlögel,1,NA,Geschichte,Deutschland
lm,Ljudmyla Melnyk,2,NA,Politik,Ukraine
kd,Kristina Dunz,2,NA,Journalismus,Deutschland
el,Egils Levits,1,NA,Politik,Lettland
ab,Annalena Baerbock,2,Die_Grünen,Politik,Deutschland
ft,Frans Timmermans,1,NA,Politik,Deutschland
am,Andrij Melynk,1,NA,Politik,Deutschland
agl,Alexander Graf Lambsdorff ,1,FDP,Politik,Deutschland
er,Egon Ramms,1,NA,Militär,Deutschland
cm,Claudia Major,2,NA,Politik,Deutschland
kp,Katja Petrowskaja,2,NA,Journalismus,Deutschland
rk,Roderich Kiesewetter,1,CDU,Politik,Deutschland